,URL,protocol_part,URL_without_protocol_part
89,https://www.radareghtesad.ir,https://www.,radareghtesad.ir
90,http://www.rooykardemrooz.ir,http://www.,rooykardemrooz.ir
91,http://rouzarouz.ir,http://,rouzarouz.ir
92,http://www.rustanews.ir,http://www.,rustanews.ir
93,http://saat24.com,http://,saat24.com
94,http://safiretejarat.com,http://,safiretejarat.com
95,http://sahebkhabar.ir,http://,sahebkhabar.ir
96,http://www.sahebkhabar.ir,http://www.,sahebkhabar.ir
97,www.sahebkhabar.ir,www.,sahebkhabar.ir
98,http://sahebkhabar.ir/bulletin/cf2565a3-864d-4adf-bd19-6127a35efbef,http://,sahebkhabar.ir/bulletin/cf2565a3-864d-4adf-bd19-6127a35efbef
99,http://sahebkhabar.ir/bulletin/d1c3e986-a946-40e1-8521-cd475cac84a7,http://,sahebkhabar.ir/bulletin/d1c3e986-a946-40e1-8521-cd475cac84a7
100,http://salamatnews.com,http://,salamatnews.com
101,http://salamatonline.ir,http://,salamatonline.ir
102,https://www.salameno.com,https://www.,salameno.com
103,https://www.sedayebourse.ir,https://www.,sedayebourse.ir
104,http://www.sena.ir,http://www.,sena.ir
105,https://setad.ir,https://,setad.ir
106,http://shahr.ir,http://,shahr.ir
107,http://shahryarnews.net,http://,shahryarnews.net
108,https://www.shana.ir,https://www.,shana.ir
109,http://shenasehnews.ir,http://,shenasehnews.ir
110,https://www.tahlilbazaar.com,https://www.,tahlilbazaar.com
111,https://www.tahririeh.com,https://www.,tahririeh.com
112,https://www.talareshishei.ir,https://www.,talareshishei.ir
113,http://tasnimnews.com,http://,tasnimnews.com
114,https://www.tebna.ir,https://www.,tebna.ir
115,https://www.tehrannews.ir,https://www.,tehrannews.ir
116,http://tehrantimes.com,http://,tehrantimes.com
117,https://www.telexiran.com,https://www.,telexiran.com
118,https://trustseal.enamad.ir,https://,trustseal.enamad.ir
119,https://trustseal.enamad.ir/?id=162366&amp;Code=KCf2rozX2fSEkx9p65Ny,https://,trustseal.enamad.ir/?id=162366&amp;Code=KCf2rozX2fSEkx9p65Ny
120,https://trustseal.enamad.ir/logo.aspx?id=162366&amp;Code=KCf2rozX2fSEkx9p65Ny,https://,trustseal.enamad.ir/logo.aspx?id=162366&amp;Code=KCf2rozX2fSEkx9p65Ny
121,http://wakeel.ir,http://,wakeel.ir
