,URL,protocol_part,URL_without_protocol_part
89,http://sahebkhabar.ir,http://,sahebkhabar.ir
90,www.sahebkhabar.ir,www.,sahebkhabar.ir
91,http://www.sahebkhabar.ir,http://www.,sahebkhabar.ir
92,http://sahebkhabar.ir/bulletin/cf2565a3-864d-4adf-bd19-6127a35efbef,http://,sahebkhabar.ir/bulletin/cf2565a3-864d-4adf-bd19-6127a35efbef
93,http://sahebkhabar.ir/bulletin/d1c3e986-a946-40e1-8521-cd475cac84a7,http://,sahebkhabar.ir/bulletin/d1c3e986-a946-40e1-8521-cd475cac84a7
94,http://salamatnews.com,http://,salamatnews.com
95,http://salamatonline.ir,http://,salamatonline.ir
96,https://www.salameno.com,https://www.,salameno.com
97,https://www.sedayebourse.ir,https://www.,sedayebourse.ir
98,http://www.sena.ir,http://www.,sena.ir
99,https://setad.ir,https://,setad.ir
100,http://shahr.ir,http://,shahr.ir
101,http://shahryarnews.net,http://,shahryarnews.net
102,https://www.shana.ir,https://www.,shana.ir
103,http://shenasehnews.ir,http://,shenasehnews.ir
104,https://www.tahlilbazaar.com,https://www.,tahlilbazaar.com
105,https://www.tahririeh.com,https://www.,tahririeh.com
106,https://www.talareshishei.ir,https://www.,talareshishei.ir
107,http://tasnimnews.com,http://,tasnimnews.com
108,https://www.tebna.ir,https://www.,tebna.ir
109,https://www.tehrannews.ir,https://www.,tehrannews.ir
110,http://tehrantimes.com,http://,tehrantimes.com
111,https://www.telexiran.com,https://www.,telexiran.com
112,https://trustseal.enamad.ir/?id=162366&amp;Code=KCf2rozX2fSEkx9p65Ny,https://,trustseal.enamad.ir/?id=162366&amp;Code=KCf2rozX2fSEkx9p65Ny
113,https://trustseal.enamad.ir/logo.aspx?id=162366&amp;Code=KCf2rozX2fSEkx9p65Ny,https://,trustseal.enamad.ir/logo.aspx?id=162366&amp;Code=KCf2rozX2fSEkx9p65Ny
114,http://wakeel.ir,http://,wakeel.ir
